name,tf,dicts,corpus,title,dmap
afiou,1425,0.99,0.0119,0,bcdfhij
afira,558,0.99,0.0001,0,bcdfhij
afiro,139,0.99,0,0,bcdfhij
afita,438,0.5,0.0001,0.0077,cdfhj
afite,1,0.5,0,0,cdfhj
afito,55,1,0.0002,0,cdfhjlmoqst
afixa,3543,0.999,0.2922,0.0021,bcdfhijm
afixe,1545,0.99,0.0001,0,bcdfhij
afixo,4062,1,0.0037,0,abcdfhijklmoqrst
aflai,0,0.5,0,0,cdfhj
aflam,411,0.5,0.0002,0,cdfhj
aflar,105,1,0.0002,0,acdfghijklmnoqst
aflas,42,0.5,0,0,cdfhj
aflei,5,0.5,0,0,cdfhj
aflem,0,0.5,0,0,cdfhj
afles,0,0.5,0,0,cdfhj
aflou,4,0.5,0,0,cdfhj
aflua,259,0.99,0.0001,0,bcdfhij
aflui,1682,0.99,0.0119,0,bcdfhij
afluo,0,0.99,0,0,bcdfhij
afoba,617,0.99,0.0119,0.0021,bcdfhij
afobe,2685,0.99,0.0006,0,bcdfhij
afobo,187,0.9999,0.0002,0,bcdfhijmo
afoca,219,0.01,0,0.127,cfj
afoco,0,0.01,0,0,cfj
afofa,712,0.99,0.002,0.0021,bcdfhij
afofe,446,0.99,0.0001,0,bcdfhij
afofo,125,0.99,0.0001,0,bcdfhij
afoga,34451,0.99,0.8137,0.0022,bcdfhij
afogo,8832,1,0.0212,0,abcdfhijmnoqst
afola,0,0.5,0,0,cdfhj
afole,0,0.5,0,0,cdfhj
afolo,0,0.5,0,0,cdfhj
afono,169,1,0.0037,0.002,acdfghijkoqst
afora,365325,1,0.9989,0.0046,abcdfghijklmoqst
afore,81,0.99,0.0002,0,bcdfhij
aforo,581,0.999,0.0006,0,bcdfhijo
afose,36,0.999,0,0.004,cdfghijk
afoxé,17726,1,0.2922,0.0048,acdfghijkmo
afras,2691,0.01,0.0001,0,cfj
afros,14791,0.99,0.0119,0,bcdfhij
aftas,19990,0.99,0.0212,0,bcdfhij
afufo,0,0.999,0,0,cdfghijk
afuma,65,0.5,0.0002,0.0078,cdfhj
afume,0,0.5,0,0,cdfhj
afumo,0,0.5,0,0,cdfhj
afuna,0,0.01,0,0,cfj
afune,0,0.01,0,0,cfj
afuno,0,0.01,0,0,cfj
afurá,34,1,0.0002,0.004,cdfghijklmoqs
afusa,63,0.5,0.0001,0.0079,cdfhj
afuse,488,0.5,0.0001,0,cdfhj
afuso,11,0.5,0,0,cdfhj
afões,0,0.01,0,0,cfj
agaba,64,0.01,0.0002,0.1453,cfj
agabe,110,0.9999,0,0,cdfghijkm
agacé,120,1,0,0,cdfghijkmq
agado,97,0.01,0.0001,0,cfj
agadá,656,0.9999,0.0037,0.0027,cdfghijkm
agage,115,0.01,0,0.1836,cfj
agaia,81,0.01,0.0001,0.1126,cfj
agaie,0,0.01,0,0,cfj
agaio,3,0.01,0,0,cfj
agais,449,0.01,0,0.145,cfj
agaja,56,0.01,0.0002,0.1268,cfj
agaje,0,0.01,0,0,cfj
agajo,0,0.01,0,0,cfj
agala,59,0.9999,0.0002,0.004,cdfghijkm
agale,9,0.01,0,0,cfj
agalo,1,0.01,0,0,cfj
agama,1224,0.9999,0.0066,0.002,cdfghijkm
agame,150,0.999,0.0006,0.004,cdfghijk
agami,130,1,0.0006,0,cdfghijklmoqs
agana,509,0.01,0.0011,0.1278,cfj
agane,20,0.01,0,0.225,cfj
agano,1,0.01,0,0,cfj
agara,975,0.9089,0.0119,0.0043,cfjlmq
agari,167,0.01,0.0002,0,cfj
agaré,42,1,0,0,cdfghijklm
agati,1,1,0,0,cdfghijklmqs
agava,68,0.01,0,0,cfj
